action,공포/공격성,불안/슬픔,편안/안정,행복/즐거움,화남/불쾌,All
걷거나 달리는 동작,32,170,3115,3006,62,6385
꼬리를 아래로 내리는 동작,24,159,221,8,7,419
꼬리를 위로 올리고 흔드는 동작,20,61,289,1626,78,2074
두 앞발을 들어 올리는 동작,8,80,535,1469,60,2152
마운팅,5,31,58,201,60,355
머리를 앞으로 들이미는 동작,4,21,654,350,40,1069
몸을 긁는 동작,0,46,835,40,81,1002
몸을 터는 동작,3,107,490,319,156,1075
배와 목을 보여주며 눕는 동작,7,39,1339,454,47,1886
빙글빙글 도는 동작,2,30,586,812,62,1492
앉는 동작,9,236,3994,871,69,5179
앞발 하나를 들어 올리는 동작,5,205,1797,646,101,2754
엎드리는 동작,15,147,3506,975,121,4764
All,134,1332,17419,10777,944,30606
