species,action,action_code,emotion,valid_frames,total_frames,json_path
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,111,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-081591.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,94,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-069417.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,135,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-039793.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,69,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-013791.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,87,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-052619.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,101,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-087846.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,103,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-037612.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,42,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-019748.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,97,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-085105.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,100,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-038057.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,108,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-079841.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,101,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-078228.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,83,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-074017.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,82,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-040706.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,75,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-040642.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,79,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-056707.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,135,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-099501.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,83,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-032758.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,110,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-026522.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,83,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-059898.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,85,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-059642.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,5,89,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-052049.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,142,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-030602.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,99,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-056692.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,105,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-054087.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,107,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-020647.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,125,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-077762.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,74,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-028901.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,118,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-039786.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,94,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-051919.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,138,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-059925.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,112,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-070616.json
